id_street;street;id_key_access
1;1-й Неопалимовский переулок;1
2;1-й Смоленский переулок;2
3;Бурденко;3
4;Малый Новопесковский переулок;4
5;Новоконюшенный переулок;5
6;Панфиловский переулок;6
7;Плющиха;7
8;Проточный переулок;8
9;Ростовская наб.;9
10;6-й Ростовский переулок;10
11;Ружейный переулок;11
12;Серпов переулок;12
13;Смоленская набережная;13
14;Смоленская площадь;14
15;Смоленская;15
16;Смоленская-Сенная площадь;16
17;Смоленский бульвар;17
18;Земледельческий переулок;18
19;1-й Вражский переулок;19
20;1-й переулок Тружеников;20
21;Прямой переулок;21
22;Большой Саввинский переулок;22
23;2-й Неопалимовский переулок;23
24;3-й Неопалимовский переулок;24
25;4-й Ростовский переулок;25
26;Большая Дмитровка;26
27;Большой Гнездниковский переулок;27
28;Брюсов переулок;28
29;Дегтярный переулок;29
30;Газетный переулок;30
31;Глинищевский переулок;31
32;Камергерский переулок;32
33;Козицкий переулок;33
34;Леонтьевский переулок;34
35;Петровка;35
36;Петровский переулок;36
37;Столешников переулок;37
38;Страстной бульвар;38
39;Тверская;39
40;Тверской бульвар;40
41;Пушкинская площадь;41
42;Тверская площадь;42
43;Вознесенский переулок;43
44;Малый Гнездниковский переулок;44
45;Большой Девятинский переулок;45
46;Дружинниковская;47
47;Глубокий переулок;48
48;Климашкина;49
49;Красная Пресня;50
50;Краснопресненская набережная;51
51;Малая Грузинская;52
52;Николаева;53
53;Новинский бульвар;54
54;Рочдельская;55
55;Садовая-Кудринская;56
56;Волков переулок;57
57;Заморенова;58
58;Зоологическая;59
59;Зоологический переулок;60
60;Большой Предтеченский переулок;61
61;Конюшковская;62
62;Новинский переулок;63
63;Верхний Предтеченский переулок;64
64;Новопресненский переулок;65
65;2-й Красногвардейский проезд;66
66;Кудринская площадь;68
67;1812 года;69
68;Большая Дорогомиловская;70
69;Багрицкого;71
70;Бережковская набережная;72
71;Брянская;73
72;Давыдковская;74
73;Дениса Давыдова;75
74;Дунаевского;76
75;Генерала Ермолова;77
76;Киевская;78
77;Кутузовский проезд;79
78;Кутузовский проспект;80
79;площадь Победы;81
80;Поклонная;82
81;Студенческая;83
82;набережная Тараса Шевченко;84
83;Украинский бульвар;85
84;Платовская;86
85;Раевского;87
86;Минская;88
87;Кутузовский переулок;89
88;2-й Сетуньский проезд;90
89;Багратионовский проезд;91
90;Резервный проезд;92
91;1-й Сетуньский проезд;93
92;Можайский Вал;94
93;Дорогомиловская;95
94;Котельническая набережная;96
95;1-й Спасоналивковский переулок;97
96;2-й Спасоналивковский переулок;98
97;Академика Петровского;99
98;Большая Полянка;100
99;Большая Якиманка;101
100;Бродников переулок;102
101;Донская;103
102;Хавская;104
103;Крымский Вал;105
104;Малаая Калужская;107
105;Малая Полянка;108
106;Малая Якиманка;109
107;Житная;110
108;Калужская площадь;111
109;Шаболовка;112
110;Академика Арцимовича;113
111;Старомонетный переулок;114
112;Коровий Вал;115
113;Крымский Тупик;116
114;2-й Хвостов переулок;117
115;Вешних Вод;118
116;1-й Новокузнецкий переулок;119
117;Большая Ордынка;120
118;Большой Овчинниковский переулок;121
119;Голиковский переулок;122
120;Климентовский переулок;123
121;Лаврушинский переулок;124
122;Малая Ордынка;125
123;Новокузнецкая;126
124;Ордынский тупик;127
125;Овчинниковская набережная;128
126;Озерковская набережная;129
127;Пятницкая;130
128;Руновский переулок;131
129;Садовническая;132
130;Старый Толмачевский переулок;133
131;Вишняковский переулок;134
132;Кадашевская набережная;135
133;Пятницкий переулок;136
134;Малый Толмачевский переулок;138
135;Озерковский переулок;139
136;Архангельский переулок;140
137;Армянский переулок;141
138;Большой Казенный переулок;142
